Municipios;Postos;Latitude;Longitude;Anos;Meses;Total;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31
Cruz;SITIO PITOMBEIRAS DE CRUZ;-2.8861111111111;-40.173055555556;2020;11;8.2;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;999.0;8.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Cruz;SITIO PITOMBEIRAS DE CRUZ;-2.8861111111111;-40.173055555556;2020;12;15.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4;0.0;0.0;0.0;0.0;0.0;8.2;0.0;0.0;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Cruz;SITIO PITOMBEIRAS DE CRUZ;-2.8861111111111;-40.173055555556;2021;1;36.1;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;4.7;2.4;4.8;0.0;0.0;14.4;0.0;0.0;3.4;0.0;1.2;1.4;0.0
Cruz;SITIO PITOMBEIRAS DE CRUZ;-2.8861111111111;-40.173055555556;2021;2;157.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.2;6.4;11.0;7.0;0.0;81.3;19.0;0.0;0.0;2.2;0.4;0.0;0.0;18.4;0.0;9.0;1.8;0.0;888.0;888.0;888.0
Cruz;SITIO PITOMBEIRAS DE CRUZ;-2.8861111111111;-40.173055555556;2021;3;263.3;33.4;8.4;3.4;10.7;12.2;11.2;1.8;1.4;12.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8;14.0;23.2;6.6;0.0;16.2;0.0;0.0;24.2;36.2;25.0;0.0;12.0;0.4;6.4;1.8
Cruz;SITIO PITOMBEIRAS DE CRUZ;-2.8861111111111;-40.173055555556;2021;4;85.2;10.0;0.0;0.0;0.0;0.0;0.0;1.2;0.0;5.8;0.0;17.0;3.4;2.6;4.0;0.8;0.0;0.0;0.0;5.4;3.0;5.2;2.0;7.0;0.0;3.0;0.0;0.0;0.0;14.8;0.0;888.0
Cruz;SITIO PITOMBEIRAS DE CRUZ;-2.8861111111111;-40.173055555556;2021;5;95.6;4.0;24.0;1.2;1.4;10.8;0.0;2.8;1.4;0.0;6.8;1.8;0.0;0.0;12.8;28.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Cruz;SITIO PITOMBEIRAS DE CRUZ;-2.8861111111111;-40.173055555556;2021;6;26.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4;0.0;0.0;0.0;0.0;24.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;888.0
Cruz;SITIO PITOMBEIRAS DE CRUZ;-2.8861111111111;-40.173055555556;2021;7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Cruz;SITIO PITOMBEIRAS DE CRUZ;-2.8861111111111;-40.173055555556;2021;8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
